old_path,size_bytes,tracked_by_git,category,inferred_dataset,inferred_seed,inferred_model,inferred_method,inferred_mode,inferred_role,source_or_summary,proposed_new_path,action,reason
configs/cooja_defense_dummy_logs.json,1027,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_dummy_logs.template.json,668,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_logs.json,1535,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_logs.template.json,981,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/cooja_defense_postprocess.json,786,True,Cooja artifacts,,,,,,,source,,keep,"Code, documentation, or retained Cooja configuration."
configs/default.yaml,5839,True,other,,,,,,,source,,optional,Not part of final canonical layout.
configs/generated/default.seed_123.yaml,3102,True,generated configs,,,,,,,source,,investigate,Legacy artifact class needs migration or explicit retention.
configs/generated/default.seed_2026.yaml,3110,True,generated configs,,,,,,,source,,investigate,Legacy artifact class needs migration or explicit retention.
configs/generated/default.seed_42.yaml,3094,True,generated configs,,,,,,,source,,investigate,Legacy artifact class needs migration or explicit retention.
configs/generated_all_methods/default.seed_123.adaptive_ldp.lstm.retrain.yaml,3176,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.adaptive_ldp.lstm.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.adaptive_ldp.mlp.retrain.yaml,3174,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.adaptive_ldp.mlp.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.adaptive_ldp.yaml,3163,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.adaptive_ldp.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.base.yaml,3163,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.base.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.ldp.lstm.retrain.yaml,3140,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.ldp.lstm.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.ldp.mlp.retrain.yaml,3138,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.ldp.mlp.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.ldp.yaml,3136,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.ldp.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.noise.lstm.retrain.yaml,3148,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.noise.lstm.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.noise.mlp.retrain.yaml,3146,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.noise.mlp.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_123.noise.yaml,3142,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_123.noise.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_2026.adaptive_ldp.lstm.retrain.yaml,3184,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_2026.adaptive_ldp.lstm.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_2026.adaptive_ldp.mlp.retrain.yaml,3182,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_2026.adaptive_ldp.mlp.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_2026.adaptive_ldp.yaml,3171,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_2026.adaptive_ldp.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_2026.base.yaml,3171,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_2026.base.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_2026.ldp.lstm.retrain.yaml,3148,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_2026.ldp.lstm.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_2026.ldp.mlp.retrain.yaml,3146,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_2026.ldp.mlp.retrain.yaml,move,Legacy path can be migrated to canonical layout.
configs/generated_all_methods/default.seed_2026.ldp.yaml,3144,True,generated configs,,,,,,,source,configs/generated/mock/default.seed_2026.ldp.yaml,move,Legacy path can be migrated to canonical layout.
